time, Quad.Est.E.Pos, Quad.Est.S.Z
1.890032,0.237068,0.333762
1.895033,0.263808,0.333991
1.900033,0.282069,0.334147
1.905033,0.079352,0.332819
1.910033,0.069685,0.332922
1.915033,0.056978,0.333081
1.920034,0.050368,0.333189
1.925034,0.045537,0.333354
1.930034,0.046917,0.333467
1.935034,0.055816,0.333640
1.940035,0.065151,0.333758
1.945035,0.082382,0.333939
1.950035,0.095343,0.334063
1.955035,0.116273,0.334252
1.960036,0.130975,0.334382
1.965036,0.154018,0.334580
1.970036,0.169916,0.334715
1.975036,0.194598,0.334923
1.980036,0.211498,0.335064
1.985037,0.237630,0.335282
1.990037,0.255573,0.335430
1.995037,0.283028,0.335657
2.000037,0.301722,0.335812
2.005037,0.087401,0.334490
2.010037,0.079454,0.334592
2.015036,0.069125,0.334750
2.020036,0.064126,0.334858
2.025036,0.061074,0.335022
2.030035,0.062584,0.335134
2.035035,0.070158,0.335307
2.040035,0.078196,0.335424
2.045034,0.093576,0.335604
2.050034,0.105489,0.335727
2.055033,0.125189,0.335916
2.060033,0.139288,0.336044
2.065033,0.161606,0.336242
2.070032,0.177203,0.336376
2.075032,0.201419,0.336583
2.080032,0.218138,0.336724
2.085031,0.243922,0.336940
2.090031,0.261562,0.337088
2.095031,0.288764,0.337314
2.100030,0.307349,0.337468
2.105030,0.090370,0.336150
2.110029,0.080466,0.336253
2.115029,0.066178,0.336409
2.120029,0.057639,0.336516
2.125028,0.047630,0.336680
2.130028,0.044371,0.336792
2.135028,0.046721,0.336963
2.140027,0.053022,0.337080
2.145027,0.067373,0.337260
2.150027,0.079127,0.337382
2.155026,0.098744,0.337569
2.160026,0.112787,0.337697
2.165025,0.135023,0.337894
2.170025,0.150571,0.338028
2.175025,0.174595,0.338233
2.180024,0.191031,0.338374
2.185024,0.216569,0.338589
2.190024,0.234027,0.338735
2.195023,0.260937,0.338961
2.200023,0.279361,0.339114
2.205023,0.096787,0.337801
2.210022,0.088712,0.337903
2.215022,0.078372,0.338059
2.220021,0.073192,0.338165
2.225021,0.069004,0.338328
2.230021,0.069221,0.338440
2.235020,0.074658,0.338610
2.240020,0.081269,0.338726
2.245020,0.094820,0.338905
2.250019,0.105797,0.339027
2.255019,0.124278,0.339213
2.260019,0.137842,0.339341
2.265018,0.159299,0.339536
2.270018,0.174350,0.339669
2.275017,0.197971,0.339874
2.280017,0.214200,0.340014
2.285017,0.239550,0.340228
2.290016,0.256907,0.340374
2.295016,0.283753,0.340598
2.300016,0.302166,0.340751
2.305015,0.108640,0.339442
2.310015,0.103329,0.339544
2.315015,0.096910,0.339699
2.320014,0.094526,0.339805
2.325014,0.094035,0.339967
2.330014,0.096115,0.340078
2.335013,0.102909,0.340247
